regionbase,tax_sce,region_scenario,pe,tb,varphi,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality
OECD37 as Home,Unilateral,3,1.0,0.0,0.0,0.04923433442991369,0.8194978536383585,0.04923433442991369,8.625495,23.650503,32.275998,11.293668,0.91057897,2.4875371,17.584217,12.20424697,13.781205100000001,20.0717541,18.49479597,6.070526466666665,16.583580666666663,6.070526466666665,0.0,0.91057897,0.0,91.87470066666667,123.29863979999998,69.15739949666666,113.73993989999998,13.781205100000001,18.49479597,0.0,0.0,0.0,0.0333333337280793,0.32333333289911276,0.0,1.0000000116860974e-07,9.699999985457453e-07,-2.9999999995311555e-06,0.0,0.0,-4.3174743858742075e-07,-4.3174743858742075e-07
OECD37 as Home,Unilateral,3,0.9936666798819145,0.03998074377700458,0.1,0.04925308370446416,0.8194978536383585,0.04813815915980951,8.33442186275284,23.57549093927717,31.90991280203001,10.926035069117207,0.8813335197996442,2.406562472912265,17.695944316138522,11.807368588916852,13.332597542029472,20.102506789050786,18.577277835938165,6.072838226715965,16.487364509053805,5.935369546880422,0.13746867983554167,0.8613240952901992,0.02000942450944513,91.87470066666667,123.29863979999995,69.15971802537584,113.73797490395806,13.7812051,18.494058366443316,-0.28136116671808087,-0.07477439726076622,-0.20490160878931002,0.08400377073425346,0.225308645281504,-0.0750120607228304,0.030752789050787044,0.08248283593816552,-0.36608819796999015,-0.20425757585661497,0.005999128524862503,0.019925362001631773,-0.019921102582197092
OECD37 as Home,Unilateral,3,0.9883686877795212,0.07957185403584424,0.2,0.0493072546158312,0.8194978536383585,0.04710456219959889,8.03579807539066,23.512557512733704,31.548355588124366,10.57518425211405,0.8541438852212472,2.329284264994283,17.789786922065698,11.429328137335299,12.904468517108334,20.11907118705998,18.643930807286946,6.079517426404253,16.398235199124546,5.807928447585038,0.2715889788192151,0.8157657032636318,0.03837818195761533,91.87470066666667,123.29863979999998,69.16644300690494,113.73229758422305,13.781205100000001,18.49198941651793,-0.5503000215088525,-0.13714246159962082,-0.18957789744144465,0.06502780927046996,0.20495670673236577,-0.13794548726629685,0.047317187059981336,0.14913580728694598,-0.7276454118756348,-0.41243485724985085,0.011932145174237435,0.07957642643432657,-0.07882309201321881
OECD37 as Home,Unilateral,3,0.9840461804500245,0.11888656973282383,0.30000000000000004,0.04939402872817503,0.8194978536383585,0.046127992439726984,7.729005457226058,23.46108655501812,31.19009201224418,10.23967054938544,0.8287759176631752,2.2553842014280625,17.866299199998736,11.068446467048616,12.495054750813503,20.121683401426797,18.69507511766191,6.0902165564261,16.315445775529277,5.687518724523019,0.40269783190308067,0.7735084560115005,0.05526746165167466,91.87470066666667,123.29863979999998,69.1772619122035,113.72320332370447,13.781205100000001,18.488777029756037,-0.8065411306837466,-0.18790346210899897,-0.17443123421727544,0.045979361060436576,0.18443545446273316,-0.18941644498188026,0.04992940142679814,0.20028011766191156,-1.085908987755822,-0.6248559842717682,0.01779953717644874,0.17829034443925199,-0.1762933399991697
OECD37 as Home,Unilateral,3,0.9806527814574615,0.15801761122448119,0.4,0.04951088925000082,0.8194978536383585,0.045203865607021755,7.413262418356265,23.420599847095424,30.83386226545169,9.918294242638298,0.8050323570538203,2.184598032922445,17.925918844488084,10.723326599692118,12.102892275560743,20.11051687741053,18.730951201541906,6.104625299813543,16.23837570401856,5.5735751430477825,0.5310501567657613,0.7342214892301079,0.07081086782371247,91.87470066666667,123.29863979999996,69.19189555739281,113.71095589182512,13.781205100000001,18.48457932097387,-1.0498458461261637,-0.2276755388478925,-0.15941819423953243,0.026878743689434985,0.16375414922606035,-0.2299031529045763,0.038762877410530194,0.23615620154190609,-1.4421387345483119,-0.8418022889187915,0.023599854331987257,0.3158151510414146,-0.31205682439831456
OECD37 as Home,Unilateral,3,0.9781483433331128,0.19707484874074993,0.5,0.049655668219673786,0.8194978536383585,0.044327602838786735,7.08773877907105,23.390674402825265,30.478413181896315,9.609806950857207,0.7827278153240163,2.116650791761824,17.96907865491051,10.392534766181223,11.726457742619031,20.085729446672335,18.751806470234527,6.122476349845861,16.16644203204321,5.4655331356170205,0.6569432142288404,0.6975951256508449,0.08513268967317131,91.87470066666667,123.29863979999996,69.21010466268385,113.69578249929765,13.781205100000001,18.47952688723297,-1.2798964656699812,-0.25698452781073955,-0.14454292277571948,0.007774555730512093,0.14297575208628976,-0.25982859717473517,0.013975446672336744,0.2570114702345272,-1.7975878181036862,-1.0636970250582012,0.0293350665432443,0.49196489114954856,-0.48631738792384516
OECD37 as Home,Unilateral,3,0.9765082144088297,0.23614254874691137,0.6000000000000001,0.04982636883090671,0.8194978536383585,0.043495630786259225,6.7513483541957156,23.37105579528949,30.122404149485206,9.313207349665891,0.7617075158858405,2.051321926790001,17.99602623433652,10.074914865551731,11.364529276455892,20.04734816112652,18.75773375022236,6.143523503023921,16.099176278574046,5.362952113188765,0.7805713898351564,0.6633755087778724,0.09833200710796816,91.87470066666664,123.29863979999996,69.23166813582908,113.67789241909632,13.7812051,18.473732274204963,-1.4964254261572463,-0.2761583454975761,-0.12975836431210977,-0.011332594058931306,0.12209283745911312,-0.279447204710511,-0.024405838873477137,0.2629387502223608,-2.153596850514795,-1.2909020858937907,0.03500380108143773,0.7069958147419403,-0.6994393739540523
OECD37 as Home,Unilateral,3,0.9757217405955416,0.2753206582415132,0.7000000000000001,0.05002125832715842,0.8194978536383585,0.04270443688009667,6.40289729726239,23.361642446009576,29.764539743271968,9.027406273758888,0.7418204212561036,1.988371539056044,18.006837679308774,9.769226695014993,11.015777812814932,19.995209218364817,18.748658100564878,6.167553112823062,16.03614090570506,5.265398980740874,0.9021541320821881,0.6313214067287594,0.11049901452734422,91.87470066666664,123.29863979999998,69.25639519611578,113.65746725076704,13.781205099999998,18.467289140976384,-1.6990757046030793,-0.28534685646961705,-0.11501692618852354,-0.030478185331397564,0.10108183030289487,-0.28886055399042476,-0.07654478163518164,0.25386310056487815,-2.511461256728033,-1.5239595263958305,0.04060697455357591,0.960904406411232,-0.9525961325941998
OECD37 as Home,Unilateral,3,0.9757931378233857,0.3147020072817253,0.8,0.05023873669575544,0.8194978536383585,0.04195107554809172,6.040896352317158,23.36249715997545,29.40339351229261,8.751422307040242,0.722931433956197,1.9275834623906236,18.00139814900067,9.474353740996438,10.679005769430866,19.928981611391293,18.72432958295687,6.194367899856984,15.976966281849279,5.172510553226748,1.021857346630236,0.6012239456513547,0.12170748830484227,91.87470066666667,123.29863979999999,69.28410919933131,113.63467468178821,13.781205100000003,18.46027869991505,-1.8874882223684202,-0.28451286295920675,-0.1002593780239726,-0.049701321610997676,0.0799046106852766,-0.28800584002454954,-0.14277238860870511,0.22953458295686957,-2.8726074877073913,-1.7634584667987507,0.04614405975271611,1.2539424088729407,-1.2473838432573123
OECD37 as Home,Unilateral,3,0.9767380205375449,0.3543955451802194,0.9,0.05047741970386488,0.8194978536383585,0.04123269052033777,5.663565737200888,23.37380564205464,29.03737137925553,8.484248531371312,0.7049109041133227,1.8687359135585224,17.979464321272346,9.189159435484635,10.352984444929834,19.84820023483087,18.68437522538567,6.223797190100261,15.921308983783234,5.0839346564520005,1.1398625336482613,0.5728878138961222,0.13202309021720046,91.87470066666667,123.2986398,69.3146585367323,113.60965978508145,13.7812051,18.452768561756763,-2.061247236347874,-0.27347278158341803,-0.08543655507039856,-0.069027271206684,0.05853717392422581,-0.2766973579453591,-0.22355376516912884,0.18958022538566865,-3.2386296207444722,-2.0101550746913937,0.051616145684386244,1.5865421066058003,-1.586003391414901
